Composition,Cr%,h_max (µm),P_max (µN),h_f (µm),m,R²,S (µN/µm),h_c (µm),A_c (µm²),Er_meas (GPa),Er_corr (GPa),Er_analytical (GPa),dev (%),excl. pts
Fe16Cr0,0,0.4040,"42,659.6",0.1680,1.5131,0.99996,"274,013",0.2919,2.0881,168.1,196.9,224.9,-12.4,18
Fe0Cr16,100,0.4040,"51,908.7",0.1070,2.1491,0.99985,"376,424",0.3047,2.2753,221.2,274.0,256.6,+6.8,22
