tag,n_cr,strain_type,epsilon,filename,conv_thr,mag_init,file_found
fe16cr00,0,h,-0.01,fecr_fe16cr00_h-0.01.out,1e-08,FM,True
fe16cr00,0,h,0.0,fecr_fe16cr00_h0.00.out,1e-08,FM,True
fe16cr00,0,h,0.01,fecr_fe16cr00_h0.01.out,1e-08,FM,True
fe16cr00,0,s,-0.01,fecr_fe16cr00_s-0.01.out,1e-08,FM,True
fe16cr00,0,s,0.0,fecr_fe16cr00_s0.00.out,1e-08,FM,True
fe16cr00,0,s,0.01,fecr_fe16cr00_s0.01.out,1e-08,FM,True
fe16cr00,0,t,-0.01,fecr_fe16cr00_t-0.01.out,1e-08,FM,True
fe16cr00,0,t,0.0,fecr_fe16cr00_t0.00.out,1e-08,FM,True
fe16cr00,0,t,0.01,fecr_fe16cr00_t0.01.out,1e-08,FM,True
fe15cr01,1,h,-0.01,fecr_fe15cr01_h-0.01.out,1e-08,FM,True
fe15cr01,1,h,0.0,fecr_fe15cr01_h0.00.out,1e-08,FM,True
fe15cr01,1,h,0.01,fecr_fe15cr01_h0.01.out,1e-08,FM,True
fe15cr01,1,s,-0.01,fecr_fe15cr01_s-0.01.out,1e-08,FM,True
fe15cr01,1,s,0.0,fecr_fe15cr01_s0.00.out,1e-08,FM,True
fe15cr01,1,s,0.01,fecr_fe15cr01_s0.01.out,1e-08,FM,True
fe15cr01,1,t,-0.01,fecr_fe15cr01_t-0.01.out,1e-08,FM,True
fe15cr01,1,t,0.0,fecr_fe15cr01_t0.00.out,1e-08,FM,True
fe15cr01,1,t,0.01,fecr_fe15cr01_t0.01.out,1e-08,FM,True
fe14cr02,2,h,-0.01,fecr_fe14cr02_h-0.01.out,1e-08,FM,True
fe14cr02,2,h,0.0,fecr_fe14cr02_h0.00.out,1e-08,FM,True
fe14cr02,2,h,0.01,fecr_fe14cr02_h0.01.out,1e-08,FM,True
fe14cr02,2,s,-0.01,fecr_fe14cr02_s-0.01.out,1e-08,FM,True
fe14cr02,2,s,0.0,fecr_fe14cr02_s0.00.out,1e-08,FM,True
fe14cr02,2,s,0.01,fecr_fe14cr02_s0.01.out,1e-08,FM,True
fe14cr02,2,t,-0.01,fecr_fe14cr02_t-0.01.out,1e-08,FM,True
fe14cr02,2,t,0.0,fecr_fe14cr02_t0.00.out,1e-08,FM,True
fe14cr02,2,t,0.01,fecr_fe14cr02_t0.01.out,1e-08,FM,True
fe13cr03,3,h,-0.01,fecr_fe13cr03_h-0.01.out,1e-08,FM,True
fe13cr03,3,h,0.0,fecr_fe13cr03_h0.00.out,1e-08,FM,True
fe13cr03,3,h,0.01,fecr_fe13cr03_h0.01.out,1e-08,FM,True
fe13cr03,3,s,-0.01,fecr_fe13cr03_s-0.01.out,1e-08,FM,True
fe13cr03,3,s,0.0,fecr_fe13cr03_s0.00.out,1e-08,FM,True
fe13cr03,3,s,0.01,fecr_fe13cr03_s0.01.out,1e-08,FM,True
fe13cr03,3,t,-0.01,fecr_fe13cr03_t-0.01.out,1e-08,FM,True
fe13cr03,3,t,0.0,fecr_fe13cr03_t0.00.out,1e-08,FM,True
fe13cr03,3,t,0.01,fecr_fe13cr03_t0.01.out,1e-08,FM,True
fe12cr04,4,h,-0.01,fecr_fe12cr04_h-0.01.out,1e-08,FM,True
fe12cr04,4,h,0.0,fecr_fe12cr04_h0.00.out,1e-08,FM,True
fe12cr04,4,h,0.01,fecr_fe12cr04_h0.01.out,1e-08,FM,True
fe12cr04,4,s,-0.01,fecr_fe12cr04_s-0.01.out,1e-08,FM,True
