n_cr,x_cr,mode,C11_GPa,C11_std,C12_GPa,C12_std,C44_GPa,C44_std,B_GPa,ZenerA
0,0.0,raw,309.16,0.98,158.5,0.99,120.0,0.88,208.72,1.593
4,0.25,raw,181.87,0.94,98.69,0.98,111.56,0.55,126.42,2.6826
8,0.5,raw,282.12,0.94,160.2,0.98,123.43,0.54,200.84,2.0249
12,0.75,raw,391.98,0.94,177.68,0.98,114.72,0.55,249.11,1.0707
16,1.0,raw,443.52,0.98,67.82,0.99,98.96,0.88,193.05,0.5268
